location,date,vaccine,total_vaccinations
Iceland,1/11/2021,Oxford/AstraZeneca,0
Iceland,1/11/2021,Pfizer/BioNTech,4948
Iceland,1/12/2021,Moderna,0
Iceland,1/12/2021,Oxford/AstraZeneca,0
Iceland,1/12/2021,Pfizer/BioNTech,4948
Iceland,1/13/2021,Moderna,501
Iceland,1/13/2021,Oxford/AstraZeneca,0
Iceland,1/13/2021,Pfizer/BioNTech,4948
Iceland,1/14/2021,Moderna,843
Iceland,1/14/2021,Oxford/AstraZeneca,0
Iceland,1/14/2021,Pfizer/BioNTech,4948
Iceland,1/15/2021,Moderna,1262
Iceland,1/15/2021,Oxford/AstraZeneca,0
Iceland,1/15/2021,Pfizer/BioNTech,4948
Iceland,1/16/2021,Moderna,1262
Iceland,1/16/2021,Oxford/AstraZeneca,0
Iceland,1/16/2021,Pfizer/BioNTech,4948
Iceland,1/17/2021,Moderna,1262
Iceland,1/17/2021,Oxford/AstraZeneca,0
Iceland,1/17/2021,Pfizer/BioNTech,4948
Iceland,1/18/2021,Moderna,1263
Iceland,1/18/2021,Oxford/AstraZeneca,0
Iceland,1/18/2021,Pfizer/BioNTech,4978
Iceland,1/19/2021,Moderna,1263
Iceland,1/19/2021,Oxford/AstraZeneca,0
Iceland,1/19/2021,Pfizer/BioNTech,6072
Iceland,1/20/2021,Moderna,1263
Iceland,1/20/2021,Oxford/AstraZeneca,0
Iceland,1/20/2021,Pfizer/BioNTech,7834
Iceland,1/21/2021,Moderna,1263
Iceland,1/21/2021,Oxford/AstraZeneca,1
Iceland,1/21/2021,Pfizer/BioNTech,11610
Iceland,1/22/2021,Moderna,1263
Iceland,1/22/2021,Oxford/AstraZeneca,1
Iceland,1/22/2021,Pfizer/BioNTech,13501
Iceland,1/23/2021,Moderna,1263
Iceland,1/23/2021,Oxford/AstraZeneca,1
Iceland,1/23/2021,Pfizer/BioNTech,14050
Iceland,1/24/2021,Moderna,1263
Iceland,1/24/2021,Oxford/AstraZeneca,1
Iceland,1/24/2021,Pfizer/BioNTech,14050
Iceland,1/25/2021,Moderna,1263
Iceland,1/25/2021,Oxford/AstraZeneca,1
Iceland,1/25/2021,Pfizer/BioNTech,14206
Iceland,1/26/2021,Moderna,1263
Iceland,1/26/2021,Oxford/AstraZeneca,1
Iceland,1/26/2021,Pfizer/BioNTech,14313
Iceland,1/27/2021,Moderna,1263
Iceland,1/27/2021,Oxford/AstraZeneca,1
Iceland,1/27/2021,Pfizer/BioNTech,14326
Iceland,1/28/2021,Moderna,1263
Iceland,1/28/2021,Oxford/AstraZeneca,1
Iceland,1/28/2021,Pfizer/BioNTech,14326
Iceland,1/29/2021,Moderna,1263
Iceland,1/29/2021,Oxford/AstraZeneca,1
Iceland,1/29/2021,Pfizer/BioNTech,14327
Iceland,1/30/2021,Moderna,1263
Iceland,1/30/2021,Oxford/AstraZeneca,1
Iceland,1/30/2021,Pfizer/BioNTech,14327
Iceland,1/31/2021,Moderna,1263
Iceland,1/31/2021,Oxford/AstraZeneca,1
Iceland,1/31/2021,Pfizer/BioNTech,14327
Iceland,2/1/2021,Moderna,1263
Iceland,2/1/2021,Oxford/AstraZeneca,1
Iceland,2/1/2021,Pfizer/BioNTech,14764
Iceland,2/2/2021,Moderna,1264
Iceland,2/2/2021,Oxford/AstraZeneca,1
Iceland,2/2/2021,Pfizer/BioNTech,15775
Iceland,2/3/2021,Moderna,1264
Iceland,2/3/2021,Oxford/AstraZeneca,1
Iceland,2/3/2021,Pfizer/BioNTech,16304
Iceland,2/4/2021,Moderna,1264
Iceland,2/4/2021,Oxford/AstraZeneca,1
Iceland,2/4/2021,Pfizer/BioNTech,16343
Iceland,2/5/2021,Moderna,1264
Iceland,2/5/2021,Oxford/AstraZeneca,1
Iceland,2/5/2021,Pfizer/BioNTech,16367
Iceland,2/6/2021,Moderna,1264
Iceland,2/6/2021,Oxford/AstraZeneca,1
Iceland,2/6/2021,Pfizer/BioNTech,16486
Iceland,2/7/2021,Moderna,1264
Iceland,2/7/2021,Oxford/AstraZeneca,1
Iceland,2/7/2021,Pfizer/BioNTech,16486
Iceland,2/8/2021,Moderna,1264
Iceland,2/8/2021,Oxford/AstraZeneca,1
Iceland,2/8/2021,Pfizer/BioNTech,16486
Iceland,2/9/2021,Moderna,1264
Iceland,2/9/2021,Oxford/AstraZeneca,1
Iceland,2/9/2021,Pfizer/BioNTech,16486
Iceland,2/10/2021,Moderna,1814
Iceland,2/10/2021,Oxford/AstraZeneca,1
Iceland,2/10/2021,Pfizer/BioNTech,16487
Iceland,2/11/2021,Moderna,1990
Iceland,2/11/2021,Oxford/AstraZeneca,1209
Iceland,2/11/2021,Pfizer/BioNTech,16487
Iceland,2/12/2021,Moderna,2198
Iceland,2/12/2021,Oxford/AstraZeneca,1209
Iceland,2/12/2021,Pfizer/BioNTech,16501
Iceland,2/13/2021,Moderna,2198
Iceland,2/13/2021,Oxford/AstraZeneca,1209
Iceland,2/13/2021,Pfizer/BioNTech,16501
Iceland,2/14/2021,Moderna,2198
Iceland,2/14/2021,Oxford/AstraZeneca,1209
Iceland,2/14/2021,Pfizer/BioNTech,16501
Iceland,2/15/2021,Moderna,2385
Iceland,2/15/2021,Oxford/AstraZeneca,1209
Iceland,2/15/2021,Pfizer/BioNTech,16501
Iceland,2/16/2021,Moderna,2584
Iceland,2/16/2021,Oxford/AstraZeneca,1253
Iceland,2/16/2021,Pfizer/BioNTech,17796
Iceland,2/17/2021,Moderna,3233
Iceland,2/17/2021,Oxford/AstraZeneca,1516
Iceland,2/17/2021,Pfizer/BioNTech,20223
Iceland,2/18/2021,Moderna,3574
Iceland,2/18/2021,Oxford/AstraZeneca,1595
Iceland,2/18/2021,Pfizer/BioNTech,20670
Iceland,2/19/2021,Moderna,3904
Iceland,2/19/2021,Oxford/AstraZeneca,2719
Iceland,2/19/2021,Pfizer/BioNTech,20854
Iceland,2/20/2021,Moderna,3904
Iceland,2/20/2021,Oxford/AstraZeneca,2719
Iceland,2/20/2021,Pfizer/BioNTech,21204
Iceland,2/21/2021,Moderna,3904
Iceland,2/21/2021,Oxford/AstraZeneca,2719
Iceland,2/21/2021,Pfizer/BioNTech,21204
Iceland,2/22/2021,Moderna,3904
Iceland,2/22/2021,Oxford/AstraZeneca,2836
Iceland,2/22/2021,Pfizer/BioNTech,21230
Iceland,2/23/2021,Moderna,3904
Iceland,2/23/2021,Oxford/AstraZeneca,3156
Iceland,2/23/2021,Pfizer/BioNTech,22601
Iceland,2/24/2021,Moderna,3904
Iceland,2/24/2021,Oxford/AstraZeneca,3726
Iceland,2/24/2021,Pfizer/BioNTech,23912
Iceland,2/25/2021,Moderna,3904
Iceland,2/25/2021,Oxford/AstraZeneca,3936
Iceland,2/25/2021,Pfizer/BioNTech,24429
Iceland,2/26/2021,Moderna,3904
Iceland,2/26/2021,Oxford/AstraZeneca,5157
Iceland,2/26/2021,Pfizer/BioNTech,24588
Iceland,2/27/2021,Moderna,3904
Iceland,2/27/2021,Oxford/AstraZeneca,5157
Iceland,2/27/2021,Pfizer/BioNTech,24747
Iceland,2/28/2021,Moderna,3904
Iceland,2/28/2021,Oxford/AstraZeneca,5157
Iceland,2/28/2021,Pfizer/BioNTech,24747
Iceland,3/1/2021,Moderna,3904
Iceland,3/1/2021,Oxford/AstraZeneca,5253
Iceland,3/1/2021,Pfizer/BioNTech,24747
Iceland,3/2/2021,Moderna,3905
Iceland,3/2/2021,Oxford/AstraZeneca,5379
Iceland,3/2/2021,Pfizer/BioNTech,27104
Iceland,3/3/2021,Moderna,3905
Iceland,3/3/2021,Oxford/AstraZeneca,5491
Iceland,3/3/2021,Pfizer/BioNTech,29856
Iceland,3/4/2021,Moderna,3906
Iceland,3/4/2021,Oxford/AstraZeneca,5856
Iceland,3/4/2021,Pfizer/BioNTech,30037
Iceland,3/5/2021,Moderna,3906
Iceland,3/5/2021,Oxford/AstraZeneca,8147
Iceland,3/5/2021,Pfizer/BioNTech,30037
Iceland,3/6/2021,Moderna,3906
Iceland,3/6/2021,Oxford/AstraZeneca,8147
Iceland,3/6/2021,Pfizer/BioNTech,30037
Iceland,3/7/2021,Moderna,3906
Iceland,3/7/2021,Oxford/AstraZeneca,8147
Iceland,3/7/2021,Pfizer/BioNTech,30037
Iceland,3/8/2021,Moderna,3906
Iceland,3/8/2021,Oxford/AstraZeneca,8150
Iceland,3/8/2021,Pfizer/BioNTech,30038
Iceland,3/9/2021,Moderna,3906
Iceland,3/9/2021,Oxford/AstraZeneca,8290
Iceland,3/9/2021,Pfizer/BioNTech,32713
Iceland,3/10/2021,Moderna,3906
Iceland,3/10/2021,Oxford/AstraZeneca,8895
Iceland,3/10/2021,Pfizer/BioNTech,33298
Iceland,3/11/2021,Moderna,3906
Iceland,3/11/2021,Oxford/AstraZeneca,9280
Iceland,3/11/2021,Pfizer/BioNTech,33722
Iceland,3/12/2021,Moderna,3906
Iceland,3/12/2021,Oxford/AstraZeneca,9280
Iceland,3/12/2021,Pfizer/BioNTech,33916
Iceland,3/13/2021,Moderna,3906
Iceland,3/13/2021,Oxford/AstraZeneca,9280
Iceland,3/13/2021,Pfizer/BioNTech,33916
Iceland,3/14/2021,Moderna,3906
Iceland,3/14/2021,Oxford/AstraZeneca,9280
Iceland,3/14/2021,Pfizer/BioNTech,33916
Iceland,3/15/2021,Moderna,3906
Iceland,3/15/2021,Oxford/AstraZeneca,9280
Iceland,3/15/2021,Pfizer/BioNTech,33935
Iceland,3/16/2021,Moderna,3906
Iceland,3/16/2021,Oxford/AstraZeneca,9280
Iceland,3/16/2021,Pfizer/BioNTech,37168
Iceland,3/17/2021,Moderna,4343
Iceland,3/17/2021,Oxford/AstraZeneca,9280
Iceland,3/17/2021,Pfizer/BioNTech,37695
Iceland,3/18/2021,Moderna,4623
Iceland,3/18/2021,Oxford/AstraZeneca,9280
Iceland,3/18/2021,Pfizer/BioNTech,38734
Iceland,3/19/2021,Moderna,4848
Iceland,3/19/2021,Oxford/AstraZeneca,9280
Iceland,3/19/2021,Pfizer/BioNTech,38920
Iceland,3/20/2021,Moderna,4848
Iceland,3/20/2021,Oxford/AstraZeneca,9280
Iceland,3/20/2021,Pfizer/BioNTech,38920
Iceland,3/21/2021,Moderna,4848
Iceland,3/21/2021,Oxford/AstraZeneca,9280
Iceland,3/21/2021,Pfizer/BioNTech,38921
Iceland,3/22/2021,Moderna,5075
Iceland,3/22/2021,Oxford/AstraZeneca,9280
Iceland,3/22/2021,Pfizer/BioNTech,40544
Iceland,3/23/2021,Moderna,5288
Iceland,3/23/2021,Oxford/AstraZeneca,9289
Iceland,3/23/2021,Pfizer/BioNTech,43489
Iceland,3/24/2021,Moderna,6715
Iceland,3/24/2021,Oxford/AstraZeneca,9289
Iceland,3/24/2021,Pfizer/BioNTech,43931
Iceland,3/25/2021,Moderna,6715
Iceland,3/25/2021,Oxford/AstraZeneca,9322
Iceland,3/25/2021,Pfizer/BioNTech,44373
Iceland,3/26/2021,Moderna,6716
Iceland,3/26/2021,Oxford/AstraZeneca,13963
Iceland,3/26/2021,Pfizer/BioNTech,44804
Iceland,3/27/2021,Moderna,6716
Iceland,3/27/2021,Oxford/AstraZeneca,13963
Iceland,3/27/2021,Pfizer/BioNTech,45189
Iceland,3/28/2021,Moderna,6716
Iceland,3/28/2021,Oxford/AstraZeneca,13963
Iceland,3/28/2021,Pfizer/BioNTech,45521
Iceland,3/29/2021,Moderna,6716
Iceland,3/29/2021,Oxford/AstraZeneca,14975
Iceland,3/29/2021,Pfizer/BioNTech,46381
Iceland,3/30/2021,Moderna,6716
Iceland,3/30/2021,Oxford/AstraZeneca,16436
Iceland,3/30/2021,Pfizer/BioNTech,49882
Iceland,3/31/2021,Moderna,6716
Iceland,3/31/2021,Oxford/AstraZeneca,17232
Iceland,3/31/2021,Pfizer/BioNTech,50717
Iceland,4/1/2021,Moderna,6716
Iceland,4/1/2021,Oxford/AstraZeneca,17232
Iceland,4/1/2021,Pfizer/BioNTech,50717
Iceland,4/2/2021,Moderna,6716
Iceland,4/2/2021,Oxford/AstraZeneca,17232
Iceland,4/2/2021,Pfizer/BioNTech,50717
Iceland,4/3/2021,Moderna,6716
Iceland,4/3/2021,Oxford/AstraZeneca,17232
Iceland,4/3/2021,Pfizer/BioNTech,50717
Iceland,4/4/2021,Moderna,6716
Iceland,4/4/2021,Oxford/AstraZeneca,17232
Iceland,4/4/2021,Pfizer/BioNTech,50717
Iceland,4/5/2021,Moderna,6716
Iceland,4/5/2021,Oxford/AstraZeneca,17232
Iceland,4/5/2021,Pfizer/BioNTech,50717
Iceland,4/6/2021,Moderna,6716
Iceland,4/6/2021,Oxford/AstraZeneca,17232
Iceland,4/6/2021,Pfizer/BioNTech,50717
Iceland,4/7/2021,Moderna,6716
Iceland,4/7/2021,Oxford/AstraZeneca,18054
Iceland,4/7/2021,Pfizer/BioNTech,55007
Iceland,4/8/2021,Moderna,6716
Iceland,4/8/2021,Oxford/AstraZeneca,22356
Iceland,4/8/2021,Pfizer/BioNTech,57345
Iceland,4/9/2021,Moderna,8154
Iceland,4/9/2021,Oxford/AstraZeneca,22726
Iceland,4/9/2021,Pfizer/BioNTech,57839
Iceland,4/10/2021,Moderna,8154
Iceland,4/10/2021,Oxford/AstraZeneca,23239
Iceland,4/10/2021,Pfizer/BioNTech,57857
Iceland,4/11/2021,Moderna,8154
Iceland,4/11/2021,Oxford/AstraZeneca,23239
Iceland,4/11/2021,Pfizer/BioNTech,57857
Iceland,4/12/2021,Moderna,8154
Iceland,4/12/2021,Oxford/AstraZeneca,23261
Iceland,4/12/2021,Pfizer/BioNTech,57857
Iceland,4/13/2021,Moderna,8154
Iceland,4/13/2021,Oxford/AstraZeneca,23281
Iceland,4/13/2021,Pfizer/BioNTech,64036
Iceland,4/14/2021,Moderna,8154
Iceland,4/14/2021,Oxford/AstraZeneca,23783
Iceland,4/14/2021,Pfizer/BioNTech,65493
Iceland,4/15/2021,Moderna,8154
Iceland,4/15/2021,Oxford/AstraZeneca,23898
Iceland,4/15/2021,Pfizer/BioNTech,66631
Iceland,4/16/2021,Moderna,8154
Iceland,4/16/2021,Oxford/AstraZeneca,23901
Iceland,4/16/2021,Pfizer/BioNTech,67460
Iceland,4/17/2021,Moderna,8154
Iceland,4/17/2021,Oxford/AstraZeneca,23901
Iceland,4/17/2021,Pfizer/BioNTech,67810
Iceland,4/18/2021,Moderna,8154
Iceland,4/18/2021,Oxford/AstraZeneca,23901
Iceland,4/18/2021,Pfizer/BioNTech,68130
Iceland,4/19/2021,Moderna,8154
Iceland,4/19/2021,Oxford/AstraZeneca,23901
Iceland,4/19/2021,Pfizer/BioNTech,68588
Iceland,4/20/2021,Moderna,8165
Iceland,4/20/2021,Oxford/AstraZeneca,23901
Iceland,4/20/2021,Pfizer/BioNTech,75283
Iceland,4/21/2021,Moderna,12467
Iceland,4/21/2021,Oxford/AstraZeneca,23958
Iceland,4/21/2021,Pfizer/BioNTech,76905
Italy,12/27/2020,Pfizer/BioNTech,7170
Italy,12/28/2020,Pfizer/BioNTech,8595
Italy,12/29/2020,Pfizer/BioNTech,9604
Italy,12/30/2020,Pfizer/BioNTech,14332
Italy,12/31/2020,Pfizer/BioNTech,39808
Italy,1/1/2021,Pfizer/BioNTech,50863
Italy,1/2/2021,Pfizer/BioNTech,89381
Italy,1/3/2021,Pfizer/BioNTech,124542
Italy,1/4/2021,Pfizer/BioNTech,193294
Italy,1/5/2021,Pfizer/BioNTech,272988
Italy,1/6/2021,Pfizer/BioNTech,338174
Italy,1/7/2021,Pfizer/BioNTech,430412
Italy,1/8/2021,Moderna,2
Italy,1/8/2021,Pfizer/BioNTech,526006
Italy,1/9/2021,Pfizer/BioNTech,612961
Italy,1/10/2021,Pfizer/BioNTech,673310
Italy,1/11/2021,Pfizer/BioNTech,754233
Italy,1/12/2021,Pfizer/BioNTech,836221
Italy,1/13/2021,Moderna,3
Italy,1/13/2021,Pfizer/BioNTech,930650
Italy,1/14/2021,Moderna,87
Italy,1/14/2021,Pfizer/BioNTech,1024170
Italy,1/15/2021,Moderna,1181
Italy,1/15/2021,Pfizer/BioNTech,1112538
Italy,1/16/2021,Moderna,2091
Italy,1/16/2021,Pfizer/BioNTech,1176463
Italy,1/17/2021,Moderna,2384
Italy,1/17/2021,Pfizer/BioNTech,1213090
Italy,1/18/2021,Moderna,3602
Italy,1/18/2021,Pfizer/BioNTech,1255393
Italy,1/19/2021,Moderna,5693
Italy,1/19/2021,Pfizer/BioNTech,1285959
Italy,1/20/2021,Moderna,8970
Italy,1/20/2021,Pfizer/BioNTech,1313137
Italy,1/21/2021,Moderna,11762
Italy,1/21/2021,Pfizer/BioNTech,1345640
Italy,1/22/2021,Moderna,13498
Italy,1/22/2021,Oxford/AstraZeneca,3
Italy,1/22/2021,Pfizer/BioNTech,1370282
Italy,1/23/2021,Moderna,14498
Italy,1/23/2021,Pfizer/BioNTech,1407823
Italy,1/24/2021,Moderna,15292
Italy,1/24/2021,Pfizer/BioNTech,1440799
Italy,1/25/2021,Moderna,15890
Italy,1/25/2021,Pfizer/BioNTech,1509036
Italy,1/26/2021,Moderna,16637
Italy,1/26/2021,Pfizer/BioNTech,1588303
Italy,1/27/2021,Moderna,17257
Italy,1/27/2021,Pfizer/BioNTech,1658354
Italy,1/28/2021,Moderna,18031
Italy,1/28/2021,Pfizer/BioNTech,1750909
Italy,1/29/2021,Moderna,18840
Italy,1/29/2021,Pfizer/BioNTech,1847641
Italy,1/30/2021,Moderna,19306
Italy,1/30/2021,Oxford/AstraZeneca,4
Italy,1/30/2021,Pfizer/BioNTech,1937209
Italy,1/31/2021,Moderna,19503
Italy,1/31/2021,Pfizer/BioNTech,1996454
Italy,2/1/2021,Moderna,20054
Italy,2/1/2021,Oxford/AstraZeneca,5
Italy,2/1/2021,Pfizer/BioNTech,2081420
Italy,2/2/2021,Moderna,21166
Italy,2/2/2021,Oxford/AstraZeneca,15
Italy,2/2/2021,Pfizer/BioNTech,2168059
Italy,2/3/2021,Moderna,22570
Italy,2/3/2021,Pfizer/BioNTech,2266030
Italy,2/4/2021,Moderna,24213
Italy,2/4/2021,Pfizer/BioNTech,2371380
Italy,2/5/2021,Moderna,27438
Italy,2/5/2021,Oxford/AstraZeneca,17
Italy,2/5/2021,Pfizer/BioNTech,2474956
Italy,2/6/2021,Moderna,29528
Italy,2/6/2021,Pfizer/BioNTech,2549636
Italy,2/7/2021,Moderna,30120
Italy,2/7/2021,Oxford/AstraZeneca,18
Italy,2/7/2021,Pfizer/BioNTech,2590666
Italy,2/8/2021,Moderna,32732
Italy,2/8/2021,Oxford/AstraZeneca,19
Italy,2/8/2021,Pfizer/BioNTech,2654448
Italy,2/9/2021,Moderna,36079
Italy,2/9/2021,Pfizer/BioNTech,2717552
Italy,2/10/2021,Moderna,38896
Italy,2/10/2021,Oxford/AstraZeneca,20
Italy,2/10/2021,Pfizer/BioNTech,2787135
Italy,2/11/2021,Moderna,42026
Italy,2/11/2021,Oxford/AstraZeneca,2921
Italy,2/11/2021,Pfizer/BioNTech,2855442
Italy,2/12/2021,Moderna,46151
Italy,2/12/2021,Oxford/AstraZeneca,7408
Italy,2/12/2021,Pfizer/BioNTech,2920258
Italy,2/13/2021,Moderna,50035
Italy,2/13/2021,Oxford/AstraZeneca,12660
Italy,2/13/2021,Pfizer/BioNTech,2963575
Italy,2/14/2021,Moderna,51236
Italy,2/14/2021,Oxford/AstraZeneca,19710
Italy,2/14/2021,Pfizer/BioNTech,2984646
Italy,2/15/2021,Moderna,55367
Italy,2/15/2021,Oxford/AstraZeneca,26679
Italy,2/15/2021,Pfizer/BioNTech,3036070
Italy,2/16/2021,Moderna,62046
Italy,2/16/2021,Oxford/AstraZeneca,35934
Italy,2/16/2021,Pfizer/BioNTech,3091015
Italy,2/17/2021,Moderna,69784
Italy,2/17/2021,Oxford/AstraZeneca,48528
Italy,2/17/2021,Pfizer/BioNTech,3150421
Italy,2/18/2021,Moderna,76814
Italy,2/18/2021,Oxford/AstraZeneca,65908
Italy,2/18/2021,Pfizer/BioNTech,3215366
Italy,2/19/2021,Moderna,83771
Italy,2/19/2021,Oxford/AstraZeneca,84961
Italy,2/19/2021,Pfizer/BioNTech,3281459
Italy,2/20/2021,Moderna,90159
Italy,2/20/2021,Oxford/AstraZeneca,103935
Italy,2/20/2021,Pfizer/BioNTech,3333797
Italy,2/21/2021,Moderna,95605
Italy,2/21/2021,Oxford/AstraZeneca,114572
Italy,2/21/2021,Pfizer/BioNTech,3368507
Italy,2/22/2021,Moderna,101520
Italy,2/22/2021,Oxford/AstraZeneca,137872
Italy,2/22/2021,Pfizer/BioNTech,3444515
Italy,2/23/2021,Moderna,106808
Italy,2/23/2021,Oxford/AstraZeneca,162640
Italy,2/23/2021,Pfizer/BioNTech,3520786
Italy,2/24/2021,Moderna,113045
Italy,2/24/2021,Oxford/AstraZeneca,189803
Italy,2/24/2021,Pfizer/BioNTech,3609323
Italy,2/25/2021,Moderna,119246
Italy,2/25/2021,Oxford/AstraZeneca,221337
Italy,2/25/2021,Pfizer/BioNTech,3699698
Italy,2/26/2021,Moderna,124969
Italy,2/26/2021,Oxford/AstraZeneca,261508
Italy,2/26/2021,Pfizer/BioNTech,3790040
Italy,2/27/2021,Moderna,131952
Italy,2/27/2021,Oxford/AstraZeneca,306043
Italy,2/27/2021,Pfizer/BioNTech,3864722
Italy,2/28/2021,Moderna,134646
Italy,2/28/2021,Oxford/AstraZeneca,332440
Italy,2/28/2021,Pfizer/BioNTech,3913585
Italy,3/1/2021,Moderna,141705
Italy,3/1/2021,Oxford/AstraZeneca,372291
Italy,3/1/2021,Pfizer/BioNTech,4001820
Italy,3/2/2021,Moderna,149202
Italy,3/2/2021,Oxford/AstraZeneca,427807
Italy,3/2/2021,Pfizer/BioNTech,4098905
Italy,3/3/2021,Moderna,159167
Italy,3/3/2021,Oxford/AstraZeneca,484649
Italy,3/3/2021,Pfizer/BioNTech,4217462
Italy,3/4/2021,Moderna,170127
Italy,3/4/2021,Oxford/AstraZeneca,543551
Italy,3/4/2021,Pfizer/BioNTech,4342998
Italy,3/5/2021,Moderna,182360
Italy,3/5/2021,Oxford/AstraZeneca,607235
Italy,3/5/2021,Pfizer/BioNTech,4469931
Italy,3/6/2021,Moderna,195502
Italy,3/6/2021,Oxford/AstraZeneca,669831
Italy,3/6/2021,Pfizer/BioNTech,4570174
Italy,3/7/2021,Moderna,203220
Italy,3/7/2021,Oxford/AstraZeneca,705469
Italy,3/7/2021,Pfizer/BioNTech,4627755
Italy,3/8/2021,Moderna,215523
Italy,3/8/2021,Oxford/AstraZeneca,762352
Italy,3/8/2021,Pfizer/BioNTech,4736702
Italy,3/9/2021,Moderna,227855
Italy,3/9/2021,Oxford/AstraZeneca,821789
Italy,3/9/2021,Pfizer/BioNTech,4855858
Italy,3/10/2021,Moderna,238832
Italy,3/10/2021,Oxford/AstraZeneca,884978
Italy,3/10/2021,Pfizer/BioNTech,4993198
Italy,3/11/2021,Moderna,250933
Italy,3/11/2021,Oxford/AstraZeneca,952337
Italy,3/11/2021,Pfizer/BioNTech,5132545
Italy,3/12/2021,Moderna,260752
Italy,3/12/2021,Oxford/AstraZeneca,1021760
Italy,3/12/2021,Pfizer/BioNTech,5261631
Italy,3/13/2021,Moderna,271834
Italy,3/13/2021,Oxford/AstraZeneca,1087855
Italy,3/13/2021,Pfizer/BioNTech,5359819
Italy,3/14/2021,Moderna,278748
Italy,3/14/2021,Oxford/AstraZeneca,1128104
Italy,3/14/2021,Pfizer/BioNTech,5418007
Italy,3/15/2021,Moderna,289705
Italy,3/15/2021,Oxford/AstraZeneca,1174991
Italy,3/15/2021,Pfizer/BioNTech,5530723
Italy,3/16/2021,Moderna,301830
Italy,3/16/2021,Oxford/AstraZeneca,1175406
Italy,3/16/2021,Pfizer/BioNTech,5658162
Italy,3/17/2021,Moderna,313138
Italy,3/17/2021,Oxford/AstraZeneca,1175725
Italy,3/17/2021,Pfizer/BioNTech,5811474
Italy,3/18/2021,Moderna,326049
Italy,3/18/2021,Oxford/AstraZeneca,1175887
Italy,3/18/2021,Pfizer/BioNTech,5961361
Italy,3/19/2021,Moderna,337200
Italy,3/19/2021,Oxford/AstraZeneca,1193721
Italy,3/19/2021,Pfizer/BioNTech,6106883
Italy,3/20/2021,Moderna,349630
Italy,3/20/2021,Oxford/AstraZeneca,1243061
Italy,3/20/2021,Pfizer/BioNTech,6219111
Italy,3/21/2021,Moderna,359085
Italy,3/21/2021,Oxford/AstraZeneca,1287031
Italy,3/21/2021,Pfizer/BioNTech,6295020
Italy,3/22/2021,Moderna,370900
Italy,3/22/2021,Oxford/AstraZeneca,1354232
Italy,3/22/2021,Pfizer/BioNTech,6407368
Italy,3/23/2021,Moderna,384330
Italy,3/23/2021,Oxford/AstraZeneca,1430032
Italy,3/23/2021,Pfizer/BioNTech,6538875
Italy,3/24/2021,Moderna,399804
Italy,3/24/2021,Oxford/AstraZeneca,1503005
Italy,3/24/2021,Pfizer/BioNTech,6701592
Italy,3/25/2021,Moderna,417777
Italy,3/25/2021,Oxford/AstraZeneca,1580394
Italy,3/25/2021,Pfizer/BioNTech,6869476
Italy,3/26/2021,Moderna,436683
Italy,3/26/2021,Oxford/AstraZeneca,1659050
Italy,3/26/2021,Pfizer/BioNTech,7036830
Italy,3/27/2021,Moderna,465164
Italy,3/27/2021,Oxford/AstraZeneca,1725759
Italy,3/27/2021,Pfizer/BioNTech,7179566
Italy,3/28/2021,Moderna,482218
Italy,3/28/2021,Oxford/AstraZeneca,1780706
Italy,3/28/2021,Pfizer/BioNTech,7269178
Italy,3/29/2021,Moderna,506579
Italy,3/29/2021,Oxford/AstraZeneca,1849849
Italy,3/29/2021,Pfizer/BioNTech,7414053
Italy,3/30/2021,Moderna,535183
Italy,3/30/2021,Oxford/AstraZeneca,1920542
Italy,3/30/2021,Pfizer/BioNTech,7577736
Italy,3/31/2021,Moderna,558288
Italy,3/31/2021,Oxford/AstraZeneca,1988117
Italy,3/31/2021,Pfizer/BioNTech,7786944
Italy,4/1/2021,Moderna,583075
Italy,4/1/2021,Oxford/AstraZeneca,2040232
Italy,4/1/2021,Pfizer/BioNTech,7991294
Italy,4/2/2021,Moderna,613150
Italy,4/2/2021,Oxford/AstraZeneca,2104330
Italy,4/2/2021,Pfizer/BioNTech,8174634
Italy,4/3/2021,Moderna,648862
Italy,4/3/2021,Oxford/AstraZeneca,2150395
Italy,4/3/2021,Pfizer/BioNTech,8319674
Italy,4/4/2021,Moderna,660974
Italy,4/4/2021,Oxford/AstraZeneca,2188489
Italy,4/4/2021,Pfizer/BioNTech,8365411
Italy,4/5/2021,Moderna,681011
Italy,4/5/2021,Oxford/AstraZeneca,2247153
Italy,4/5/2021,Pfizer/BioNTech,8456417
Italy,4/6/2021,Moderna,720125
Italy,4/6/2021,Oxford/AstraZeneca,2330004
Italy,4/6/2021,Pfizer/BioNTech,8614046
Italy,4/7/2021,Moderna,749276
Italy,4/7/2021,Oxford/AstraZeneca,2409327
Italy,4/7/2021,Pfizer/BioNTech,8824372
Italy,4/8/2021,Moderna,782251
Italy,4/8/2021,Oxford/AstraZeneca,2464608
Italy,4/8/2021,Pfizer/BioNTech,9065477
Italy,4/9/2021,Moderna,816728
Italy,4/9/2021,Oxford/AstraZeneca,2516075
Italy,4/9/2021,Pfizer/BioNTech,9308933
Italy,4/10/2021,Moderna,855888
Italy,4/10/2021,Oxford/AstraZeneca,2575978
Italy,4/10/2021,Pfizer/BioNTech,9524979
Italy,4/11/2021,Moderna,873349
Italy,4/11/2021,Oxford/AstraZeneca,2613061
Italy,4/11/2021,Pfizer/BioNTech,9670413
Italy,4/12/2021,Moderna,897408
Italy,4/12/2021,Oxford/AstraZeneca,2690835
